!SIL SIL
<NOISE> SIL
<SPOKEN_NOISE> SIL
<unk> SIL
A	ei
一陣子    z it z am  a
一點	i d ien
一點點	i d ien d ien
一點點    bh i bh i  a
一點點    d am b orh  a
一點點    z it d iam  a
一點點    z it d iam d iam  a
一點點    z it g ua  a
丁	d ing
七	c i
七    c it
丈	zh ang
丈夫	zh ang f u
丈夫     ang
丈夫     ang s ai
丈夫    t au g e
丈夫    z a b o l ang
三	s an
三    s ann
上	sh ang
上    s iong
上    z iunn
上下	sh ang s ia
上來	sh ang l ai
上來    k i l ai
上升	sh ang sh ng
上午	sh ang u
上去	sh ang c yu
上去    k i k i
上市	sh ang sh ii
上帝	sh ang d i
上方	sh ang f ang
上次	sh ang c ii
上海	sh ang h ai
上班	sh ang b an
上班    s iong b an
上班族	sh ang b an z u
上網	sh ang uang
上課	sh ang k er
上課    s iong k or
上課    t ak c eh
上述	sh ang sh u
上面	sh ang m ien
上面    bh in d ing
上面    d ing bh in
上面    d ing g uan
下	s ia
下     e
下    h a
下    l orh
下來	s ia l ai
下來    l orh l ai
下列	s ia l ie
下午	s ia u
下午     e b o
下去	s ia c yu
下去    l orh k i
下山    l orh s uann
下巴     e h ai
下方	s ia f ang
下次	s ia c ii
下次     au b ai
下次     au g ai
下班	s ia b an
下班    h a b an
下課    h a k or
下車	s ia ch er
下載	s ia z ai
下降	s ia z iang
下雨    l orh h o
下面	s ia m ien
下面     e k a
不	b u
不	f ou
不     m
不    b ut
不    bh e
不    bh i
不    bh or
不久	b u z iou
不久    bh or gh ua g u
不但	b u d an
不但     m n a
不但    b ut d an
不停	b u t ing
不停    d it d it
不僅	b u z in
不再	b u z ai
不准    b ut z un
不到	b u d au
不動產	b u d ong ch an
不可    b ut k or
不可思議    b ut k or s u gh i
不同	b u t ong
不同    bh or g ang
不夠	b u g ou
不夠    bh or g au
不好意思	b u h au i s ii
不好意思    p ainn s e
不如	b u rh u
不如    b ut r u
不妨	b u f ang
不孝    b ut h au
不安	b u an
不對     m d iorh
不小心    bh or s e r i
不少	b u sh au
不幸	b u s ing
不幸    b ut h ing
不幸    p ainn m ia
不得	b u d er
不得不	b u d er b u
不得已    b ut d ik  i
不必	b u b i
不必     m bh en
不必    bh en
不怕     m g iann
不情不願    g o b ut r i z iong
不斷	b u d uan
不是	b u sh ii
不會    bh e h iau
不滿	b u m an
不然	b u rh an
不然    n a bh or
不用	b u iong
不用     m bh en
不用    bh en
不用怕    bh en g iann
不知	b u zh ii
不知道	b u zh ii d au
不禁	b u z in
不管	b u g uan
不管    b ut g uan
不管    bh or l un
不能    b ut l ing
不良	b u l iang
不行	b u s ing
不行    bh e  ing d it
不行    bh e d ang
不行    bh e s ai
不要	b u iau
不要     m t ang
不要    m ai
不論	b u l un
不論     m g uan
不論    bh or l un
不足	b u z u
不過	b u g uo
不過     iau  m g orh
不過     m g orh
不過    b ut g or
不過    b ut r i g or
不過    d an s i
不錯	b u c uo
不錯    bh e bh ai
不願     m gh uan
丐	g ai
丑	ch ou
且	c ie
丕	p i
世	sh ii
世上	sh ii sh ang
世代	sh ii d ai
世代    s i d ai
世界	sh ii z ie
世界    s e g ai
世界    t en h a
世紀	sh ii z i
世間    s e g an
丘	c iou
丙	b ing
丞	ch ng
丟	d iou
丟    d an
並	b ing
並    b ing
並不	b ing b u
並且	b ing c ie
並且    r i c iann
並沒有	b ing m ei iou
並非	b ing f ei
丫	ia
丫鬟    z a bh o g an  a
中	zh ong
中    d iong
中共	zh ong g ong
中午	zh ong u
中午    d iong d au
中國	zh ong g uo
中國    d iong g ok
中國人	zh ong g uo rh ern
中央	zh ong iang
中學	zh ong s yue
中山	zh ong sh an
中心	zh ong s in
中心    d iong s im
中文	zh ong un
中文版	zh ong un b an
中正	zh ong zh ng
中的	zh ong d i
中秋    d iong c iu
中秋節    d iong c iu z eh
中華	zh ong h ua
中部	zh ong b u
中醫	zh ong i
中間	zh ong z ien
中間    d iong  ng
丰	f ng
串	ch uan
串    g uann
丸	uan
丹	d an
主	zh u
主    z u
主人	zh u rh ern
主人    z u l ang
主任	zh u rh ern
主動	zh u d ong
主席	zh u s i
主張	zh u zh ang
主持	zh u ch ii
主持    z u c i
主持人	zh u ch ii rh ern
主機	zh u z i
主流	zh u l iou
主管	zh u g uan
主義	zh u i
主要	zh u iau
主要    z u  iau
主角	zh u z iau
主角	zh u z yue
主辦	zh u b an
主題	zh u t i
乃	n ai
久	z iou
久    g u
么	iau
之	zh ii
之    z i
之下	zh ii s ia
之中	zh ii zh ong
之內	zh ii n ei
之前	zh ii c ien
之前    z in z ing
之外	zh ii uai
之後	zh ii h ou
之後    l iau  au
之後    r en  au
之所以	zh ii s uo i
之間	zh ii z ien
之際	zh ii z i
之類	zh ii l ei
乍	zh a
乎	h u
乏	f a
乒	p ing
乓	p ang
乖	g uai
乖    g uai
乖乖    g uai g uai
乖乖的    g uai g uai  a
乘	ch ng
乘客	ch ng k er
乙	i
乜	n ie
九	z iou
九    g au
乞	c i
乞丐    k it z iah
也	ie
也     ia
也    m a
也好	ie h au
也是	ie sh ii
也是     ia s i
也許	ie s yu
也許    bh or d iann d iorh
也許    h uan s e
乩	z i
乳	rh u
乾	c ien
乾	g an
乾    d a
乾淨	g an z ing
乾淨    c ing k i
乾脆    g ui k i
亂	l uan
亂    h ue
亂    l uan
亂來     o b eh l ai
了	l er
了	l iau
了解	l iau z ie
了解    l iau g ai
予	yu
事	sh ii
事    s u
事件	sh ii z ien
事先	sh ii s ien
事先    d ai s ing
事務	sh ii u
事宜	sh ii i
事實	sh ii sh ii
事實上	sh ii sh ii sh ang
事情	sh ii c ing
事情    d ai z i
事情    k ang k ue
事故	sh ii g u
事業	sh ii ie
事物	sh ii u
事項	sh ii s iang
二	err
二    n ng
二    r i
于	yu
云	yun
互	h u
互動	h u d ong
互相	h u s iang
互相    h o s iong
互聯網	h u l ien uang
五	u
五    gh o
五    ng o
五百    gh o b ah
五花十色    gh o h ue z ap s ik
五虎山    gh o h o s uann
井	z ing
亙	g ern
些	s ie
亞	ia
亞洲	ia zh ou
亟	z i
亡	uang
亡    bh ong
亢	k ang
交	z iau
交    g au
交代    g au d ai
交友	z iau iou
交往	z iau uang
交換	z iau h uan
交換    g au  uann
交易	z iau i
交流	z iau l iou
交給	z iau g ei
交通	z iau t ong
交通    g au t ong
亥	h ai
亦	i
亨	h ng
享	s iang
享受	s iang sh ou
享受    h iang s iu
享有	s iang iou
享用	s iang iong
京	z ing
京都	z ing d u
亭	t ing
亮	l iang
亮    g ng
亳	b uo
人	rh ern
人    l ang
人    r in
人人	rh ern rh ern
人人    l ang l ang
人們	rh ern m ern
人力	rh ern l i
人力    k a c iu
人口	rh ern k ou
人員	rh ern yuan
人員    r in  uan
人士	rh ern sh ii
人士    r in s u
人家	rh ern z ia
人工	rh ern g ong
人心	rh ern s in
人性	rh ern s ing
人才	rh ern c ai
人數	rh ern sh u
人數    r in  uan
人文	rh ern un
人權	rh ern c yuan
人民	rh ern m in
人民幣	rh ern m in b i
人氣	rh ern c i
人物	rh ern u
人生	rh ern sh ng
人生    r in s ing
人群	rh ern s yun
人間	rh ern z ien
人類	rh ern l ei
人體	rh ern t i
什	sh ii
什麼	sh er m er
什麼	sh ern m er
什麼	sh ii m er
什麼    s iann
什麼    s iann h ue
什麼    s iann m ih
仁	rh ern
仇	ch ou
今	z in
今    g im
今天	z in t ien
今天    g im r it
今天    g in  a r it
今年	z in n ien
今年    g in n i
今日	z in rh ii
今日    g in  a r it
今晚	z in uan
今晚     e h ng  am
今晚    g im  ia
今生    g im s ing
介	z ie
介紹	z ie sh au
介紹    g ai s iau
介面	z ie m ien
仍	rh ng
仍然	rh ng rh an
仍然     iu gh uan
仔	z ii
仔細	z ii s i
仔細    d ing z in
仕	sh ii
他	t a
他     i
他     in
他    t ann
他人	t a rh ern
他們	t a m ern
他們     in
仗	zh ang
付	f u
付出	f u ch u
付款	f u k uan
仙	s ien
仙    s en
仡	i
代	d ai
代    d ai
代代    d ai d ai
代替    d ai t e
代理	d ai l i
代表	d ai b iau
代表    d ai b iau
令	l ing
令    l ing
令    s u
以	i
以     i
以上	i sh ang
以上     i s iong
以下	i s ia
以來	i l ai
以便	i b ien
以免	i m ien
以前	i c ien
以前     i z a
以前     i z ing
以前    z a z ing
以前    z in z ing
以及	i z i
以外	i uai
以外     i gh ua
以往	i uang
以往    k ah z a
以後	i h ou
以後     i  au
以為	i uei
以為    l iah z un
以色列	i s er l ie
仰	iang
仲	zh ong
仲介	zh ong z ie
仳	p i
件	z ien
件    g iann
任	rh ern
任    r im
任何	rh ern h er
任何    c in c ai
任何    r im h or
任務	rh ern u
任務    r im bh u
任意	rh ern i
份	f ern
份    h un
仿	f ang
企	c i
企業	c i ie
企鵝    k ia gh or
伉	k ang
伊	i
伍	u
伎	z i
伏	f u
伐	f a
休	s iou
休息	s iou s i
休息    h iorh
休息    h iorh k un
休息    h iu s ik
休息日    h iorh k un r it
休閒	s iou s ien
伕	f u
伯	b uo
伯    p ik
伯母     a  m
估	g u
估    l iah
估計	g u z i
伴	b an
伴    p uann
伶	l ing
伸	sh ern
伸    c un
伸手    c un c iu
伺	s ii
伺服器	s ii f u c i
似	s ii
似    r u
似    s ing
似乎	s ii h u
似乎    g ann n a
似的	s ii d er
伽	c ie
佃	d ien
但	d an
但是	d an sh ii
但是    b ut r i g or
但是    d an s i
佈	b u
位	uei
位     ui
位於	uei yu
位置	uei zh ii
位置    l o
低	d i
低    g e
住	zh u
住    d ua
住宅	zh u zh ai
住家    k ia g e
住宿	zh u s u
住手    z u c iu
佐	z uo
佑	iou
佔	zh an
何	h er
何    d or
何    h or
何必    h or b it
何時	h er sh ii
何時    d ang s i
何時    h or s i
佗	t uo
佘	sh er
余	yu
佚	i
佛	f uo
佛    h ut
佛教	f uo z iau
佛法	f uo f a
佛祖    b ut z o
作	z uo
作出	z uo ch u
作品	z uo p in
作家	z uo z ia
作戰	z uo zh an
作曲	z uo c yu
作業	z uo ie
作法	z uo f a
作為	z uo uei
作用	z uo iong
作者	z uo zh er
你	n i
你    l i
你們	n i m ern
你們    l in
佩	p ei
佬	l au
佯	iang
佳	z ia
併	b ing
佼	z iau
使	sh ii
使    l iah
使得	sh ii d er
使用	sh ii iong
使用    s u  iong
使用者	sh ii iong zh er
侃	k an
來	l ai
來    l ai
來不及    bh e h u
來到	l ai d au
來到    l ai g au
來源	l ai yuan
來看	l ai k an
來自	l ai z ii
來說	l ai sh uo
來電	l ai d ien
例	l i
例如	l i rh u
例子	l i z ii
侍	sh ii
侏	zh u
侖	l un
供	g ong
供應	g ong ing
供應商	g ong ing sh ang
依	i
依據	i z yu
依據    g in g i
依然	i rh an
依然     iu gh uan
依照	i zh au
依照    z iau
依舊	i z iou
侮	u
侯	h ou
侵	c in
侶	l yu
侷	z yu
侹	t ing
便	b ien
便    b en
便利	b ien l i
便利    l i b en
便宜	b ien i
便宜	p ien i
便宜    s ing
便宜    s iok
便是	b ien sh ii
便當	b ien d ang
便當    b en d ong
便當    b ng b au
係	s i
促	c u
促進	c u z in
俄	er
俄羅斯	er l uo s ii
俊	z yun
俊    z un
俎	z u
俏	c iau
俐	l i
俑	iong
俗	s u
俗語    s iok gh i
俘	f u
保	b au
保佑    b or b i
保健	b au z ien
保存	b au c un
保存    l au
保持	b au ch ii
保留	b au l iou
保證	b au zh ng
保護	b au h u
保護    b or h o
保重    b or d iong
保障	b au zh ang
保障    b or z ing
保險	b au s ien
保養	b au iang
俞	yu
俠	s ia
信	s in
信    p ue
信    s in
信仰	s in iang
信任	s in rh ern
信徒	s in t u
信心	s in s in
信息	s in s i
信用	s in iong
信用卡	s in iong k a
信箱	s in s iang
信義	s in i
修	s iou
修    s iu
修改	s iou g ai
修正	s iou zh ng
修理    s iu l i
修行	s iou s ing
俯	f u
俱	z yu
俱樂部	z yu l er b u
俸	f ng
俺	an
俾	b i
倆	l iang
倉	c ang
個	g er
個     e
個    g or
個人	g er rh ern
個個	g er g er
個別	g er b ie
個性	g er s ing
個性    g or s ing
個性    p inn
個案	g er an
倌	g uan
倍	b ei
倍    b ue
們	m ern
倒	d au
倒    b iann
倒    d or
倒是	d au sh ii
倔	z yue
倖	s ing
倘	t ang
候	h ou
候選人	h ou s yuan rh ern
候選人    h au s uan r in
倚	i
借	z ie
借    z iorh
借過    z iorh g ue
倡	ch ang
倦	z yuan
倨	z yu
倩	c ien
倪	n i
倫	l un
倫敦	l un d un
倬	zh uo
倭	uo
值	zh ii
值得	zh ii d er
值得    d at d it
偃	ien
假	z ia
假    g e
假如	z ia rh u
假如    g a s u
假日	z ia rh ii
假期	z ia c i
假設	z ia sh er
偉	uei
偉大	uei d a
偉大     ui d ai
偌	rh uo
偎	uei
偏	p ien
偓	uo
做	z uo
做    c ong
做    z or
做人    z or l ang
做伴    z or p uann
做出	z uo ch u
做到	z uo d au
做好	z uo h au
做愛	z uo ai
做法	z uo f a
做為	z uo uei
做生意    z or s ing l i
停	t ing
停    t ing
停止	t ing zh ii
停止    l au
停留	t ing l iou
停車	t ing ch er
停車場	t ing ch er ch ang
健	z ien
健康	z ien k ang
健康     iong g iann
健康    g en k ong
健身	z ien sh ern
側	c er
偵	zh ern
偶	ou
偶     ang  a
偶像	ou s iang
偶爾	ou err
偶爾     u d ang s i  a
偷	t ou
偷    t au
偷偷	t ou t ou
偷偷    t au t au
偷偷地    t au t au  a
偽	uei
傀	k uei
傅	f u
傍	b ang
傍	p ang
傑	z ie
傘	s an
備	b ei
備份	b ei f ern
備有	b ei iou
傚	s iau
催	c uei
傭	iong
傲	au
傳	ch uan
傳    t uan
傳奇	ch uan c i
傳媒	ch uan m ei
傳播	ch uan b uo
傳真	ch uan zh ern
傳統	ch uan t ong
傳統    t uan t ong
傳說	ch uan sh uo
傳輸	ch uan sh u
傳送	ch uan s ong
傳遞	ch uan d i
債	zh ai
傷	sh ang
傷    s iong
傷到    s iong d iorh
傷口	sh ang k ou
傷害	sh ang h ai
傷心	sh ang s in
傷心    s im s ng
傷心    s iong s im
傻	sh a
傻    gh ong
傻瓜    gh ong l ang
傾	c ing
僂	l ou
僅	z in
僅    z i
像	s iang
像    c iunn
像    r u
像    s ing
像是	s iang sh ii
僑	c iau
僕	p u
僖	s i
僚	l iau
僥	z iau
僧	s ng
僭	z ien
僮	t ong
僱	g u
僵	z iang
價	z ia
價    g e
價位	z ia uei
價值	z ia zh ii
價格	z ia g er
價格    g e s iau
價錢	z ia c ien
僻	p i
儀	i
儀器	i c i
儀式	i sh ii
儂	n ong
億	i
儆	z ing
儈	k uai
儉	z ien
儒	rh u
儘	z in
儘管	z in g uan
償	ch ang
儡	l ei
優	iou
優先	iou s ien
優勢	iou sh ii
優惠	iou h uei
優秀	iou s iou
優良	iou l iang
優質	iou zh ii
優雅	iou ia
優雅     iu bh i
優點	iou d ien
儲	ch u
儲存	ch u c un
儷	l i
儸	l uo
儻	t ang
儼	ien
兀	u
允	yun
允許	yun s yu
允許    d ah  ing
元	yuan
元    k o
元素	yuan s u
兄	s iong
兄妹    h iann m ue  a
兄弟	s iong d i
兄弟    h iann d i
兄長    h ing d iong
充	ch ong
充分	ch ong f ern
充滿	u s ien
充滿    c iong bh uan
兆	zh au
兇	s iong
先	s ien
先    s ing
先前	s ien c ien
先生	s ien sh ng
先生     ang s ai
先生    s en s inn
先生    t au g e
先進	s ien z in
光	g uang
光    g ng
光明	g uang m ing
光明    g ong bh ing
光碟	g uang d ie
光線    g ng s uann
光頭    g ng t au
克	k er
兌	d uei
免	m ien
免    bh en
免費	m ien f ei
兒	err
兒子	err z ii
兒子    g iann r i
兒子    h au s enn
兒童	err t ong
兔	t u
兔    t o
兔子    t o  a
兗	ien
兜	d ou
兢	z ing
入	rh u
入    r ip
入口	rh u k ou
入學	rh u s yue
內	n ei
內    l ai
內在	n ei z ai
內地	n ei d i
內容	n ei rh ong
內心	n ei s in
內心裡    s im g uann l ai
內衣	n ei i
內部	n ei b u
內部    l ai bh in
內部    l ai d e
全	c yuan
全    z uan
全世界	c yuan sh ii z ie
全國	c yuan g uo
全文	c yuan un
全新	c yuan s in
全民	c yuan m in
全球	c yuan c iou
全身	c yuan sh ern
全身    g ui s in k u
全部	c yuan b u
全部    m ua
全部    t ong
全部    z uan b o
全面	c yuan m ien
全體	c yuan t i
兩	l iang
兩    l iong
兩    n iu
兩    n ng
兩千    n ng c ing
兩百    n ng b ah
兩邊    s iang b ing
八	b a
八    b eh
八十    b eh z ap
公	g ong
公    g ong
公主	g ong zh u
公主    g ong z u
公佈	g ong b u
公共	g ong g ong
公分	g ong f ern
公司	g ong s ii
公司    g ong s i
公告	g ong g au
公園	g ong yuan
公園    g ong h ng
公寓	g ong yu
公尺	g ong ch ii
公尺    g ong c iorh
公布	g ong b u
公平	g ong p ing
公斤	g ong z in
公斤    g ong g in
公會	g ong h uei
公民	g ong m in
公益	g ong i
公眾	g ong zh ong
公路	g ong l u
公路    g ong l o
公車	bh a s u
公車	g ong ch er
公車	g ong z yu
公車    g ong c ia
公里	g ong l i
公里    g ong l i
公開	g ong k ai
六	l iou
六    l ak
六月    l ak gh ueh
共	g ong
共同	g ong t ong
共同    t ong
共和國	g ong h er g uo
共產黨	g ong ch an d ang
兵	b ing
其	c i
其    g i
其中	c i zh ong
其他	c i t a
其他    g i t ann
其它	c i t a
其實	c i sh ii
其實    g i s it
具	z yu
具備	z yu b ei
具有	z yu iou
具體	z yu t i
典	d ien
典禮	d ien l i
兼	z ien
兼    g iam
冀	z i
冉	rh an
冊	c er
冊    c eh
再	z ai
再     iu g orh
再    g orh
再    z ai
再來	z ai l ai
再度	z ai d u
再度    g orh z ai
再次	z ai c ii
再見    z ai g en
冏	z iong
冒	m au
冒險	m au s ien
冕	m ien
冗	rh ong
冠	g uan
冠軍	g uan z yun
冠軍    g uan g un
冤	yuan
冤枉     uan  ong
冥	m ing
冥想    bh ing s iong
冪	m i
冬	d ong
冬    d ang
冬天	d ong t ien
冬天    d ang t inn
冬天    g uann t inn
冬山河    d ang s uann h or
冬至    d ang z eh
冰	b ing
冰    b ing
冰塊    b ing g ak
冰箱	b ing s iang
冶	ie
冷	l ng
冷    g uann
冷    l ing
冷氣	l ng c i
冷颼颼    l ing g i g i
冽	l ie
准	zh un
凋	d iau
凌	l ing
凍	d ong
凜	l in
凝	n ing
凡	f an
凰	h uang
凱	k ai
凳	d ng
凸	t u
凹	au
出	ch u
出    c ut
出來	ch u l ai
出來    c ut l ai
出去	ch u c yu
出去    c ut k i
出口	ch u k ou
出售	ch u sh ou
出售    bh e
出國	ch u g uo
出外    c ut gh ua
出席	ch u s i
出海    c ut h ai
出版	ch u b an
出版社	ch u b an sh er
出現	ch u s ien
出現    c ut h en
出生	ch u sh ng
出生    c ut s i
出發	ch u f a
出發    c ut h uat
出租	ch u z u
出色	ch u s er
出門	ch u m ern
出門    c ut m ng
函	h an
刀	d au
刀    d or
刁	d iau
刃	rh ern
分	f ern
分    b un
分    h un
分    h un z ing
分享	f ern s iang
分別	f ern b ie
分子	f ern z ii
分手	f ern sh ou
分數	f ern sh u
分析	f ern s i
分為	f ern uei
分配	f ern p ei
分鐘	f ern zh ong
分鐘    h un z ing
分開	f ern k ai
分開    h un k ui
分開    l i
分離    h un l i
分類	f ern l ei
切	c ie
切    c et
切    t ai
刊	k an
刊登	k an d ng
刎	un
刑	s ing
划	h ua
列	l ie
列印	l ie in
列表	l ie b iau
列車	l ie ch er
初	ch u
初一    c e  it
初戀    c o l uan
初期	ch u c i
判	p an
判斷	p an d uan
別	b ie
別    b at
別    b et
別人	b ie rh ern
別人    b at l ang
別墅	b ie sh u
別的	b ie d er
刨	p au
利	l i
利    l ai
利率	l i l yu
利用	l i iong
利用    l i  iong
利益	l i i
刪	sh an
刪除	sh an ch u
刮	g ua
到	d au
到    g ah
到    g au
到來	d au l ai
到底	d au d i
到底    d au d e
到處	d au ch u
到處    m ua m ua s i
到處    s i g e
到處    z it s i g e
到處都是    m ua s i g e
到達	d au d a
制	zh ii
制度	zh ii d u
刷	sh ua
刷    l u
券	c yuan
刺	c ii
刺    c i
刺客    c i k ik
刺激	c ii z i
刺激    c i g ik
刻	k er
刻    k ik
刻意	k er i
剁	d uo
剁    d ok
剃	t i
則	z er
剉	c uo
削	s yue
剋	k er
剌	l a
前	c ien
前    s ing
前    z ing
前來	c ien l ai
前往	c ien uang
前後	c ien h ou
前後    z ing  au
前程    z en d ing
前途    z en d o
前進	c ien z in
前面	c ien m ien
前面    d ui bh in
前面    t au z ing
剎	ch a
剔	t i
剖	p ou
剛	g ang
剛    d u
剛剛	g ang g ang
剛剛    t au d u  a
剛好	g ang h au
剛好    d u h or
剛才	g ang c ai
剛才    d ann
剛才    d u  a
剛才    d u z iah
剛才    t au d u  a
剝	b uo
剝    b ak
剝    b eh
剩	sh ng
剩    c un
剩下	sh ng s ia
剪	z ien
剪    g a
剪刀    g a d or
副	f u
副    h u
割	g er
割    g uah
割    t ai
剴	k ai
創	ch uang
創作	ch uang z uo
創意	ch uang i
創新	ch uang s in
創業	ch uang ie
創立	ch uang l i
創造	ch uang z au
創造    c ong z or
剽	p iau
剿	z iau
劃	h ua
劇	z yu
劇場	z yu ch ang
劇情	z yu c ing
劇本	z yu b ern
劈	p i
劉	l iou
劉    l au
劊	k uai
劍	z ien
劍    g iam
劑	z i
力	l i
力    l at
力量	l i l iang
力量    k ui l at
力量    l ik l iong
功	g ong
功    g ong
功勞    g ong l or
功夫	g ong f u
功夫    g ang h u
功效	g ong s iau
功效    l ing
功能	g ong n ng
功課	g ong k er
功課    g ong k or
加	z ia
加    g a
加    g e
加上	z ia sh ang
加以	z ia i
加入	z ia rh u
加入    c am
加入    h am
加州	z ia zh ou
加工	z ia g ong
加強	z ia c iang
加拿大	z ia n a d a
加油	z ia iou
加油    g a  iu
加盟	z ia m ng
加速	z ia s u
劣	l ie
助	zh u
助理	zh u l i
努	n u
努力	n u l i
努力    p ah b iann
劫	z ie
劫    g iap
劬	c yu
劭	sh au
劼	z ie
劾	h er
勁	z in
勃	b uo
勇	iong
勇     iong
勇敢	iong g an
勇敢     iong g am
勇氣	iong c i
勇氣     iong k i
勉	m ien
勉強    bh en g iong
勍	c ing
勒	l er
動	d ong
動    d ang
動    d in d ang
動作	d ong z uo
動作    d ong z ok
動力	d ong l i
動態	d ong t ai
動物	d ong u
動物    d ong bh ut
動畫	d ong h ua
勖	s yu
勘	k an
務	u
務必	u b i
務必    c en bh an
勛	s yun
勝	sh ng
勝利	sh ng l i
勞	l au
勞動	l au d ong
勞工	l au g ong
募	m u
勢	sh ii
勢力	sh ii l i
勤	c in
勤儉    k in k iam
勤勞    g ut l at
勳	s yun
勵	l i
勸	c yuan
勺	sh au
勻	yun
勾	g ou
勿	u
包	b au
包    b au
包含	b au h an
包子    b au  a
包括	b au k uo
包裝	b au zh uang
包裝    b au z ong
匆	c ong
匈	s iong
匍	p u
匐	f u
匕	b i
化	h ua
化妝	h ua zh uang
化學	h ua s yue
北	b ei
北    b ak
北京	b ei z ing
北國    b ak g ok
北市	b ei sh ii
北邊    b ak b ing
北部	b ei b u
匙	ch ii
匝	z a
匠	z iang
匡	k uang
匪	f ei
匯	h uei
匱	k uei
匹	p i
匾	b ien
匿	n i
區	c yu
區	ou
區域	c yu yu
區域    d e h ng
十	sh ii
十    z ap
十五    z ap gh o
十八    z ap b eh
十分    z ap h un
十萬    z ap bh an
十足	sh ii z u
千	c ien
千    c en
千    c ing
千歲    c en s ue
千萬	c ien uan
千萬    c en bh an
千里    c en l i
千里眼    c en l i gh an
升	sh ng
升    c ing
升級	sh ng z i
午	u
午餐	u c an
午餐    d iong d au
卉	h uei
半	b an
半    b uann
半夜    b uann m e
半夜    b uann m e  a
半路    b uann l o
卍	uan
卑	b ei
卒	z u
卓	zh uo
協	s ie
協助	s ie zh u
協會	s ie h uei
協調	s ie t iau
協議	s ie i
南	n an
南    l am
南京	n an z ing
南投	n an t ou
南方	n an f ang
南方    l am b ing
南方    l am h ong
南部	n an b u
南部     e g ang
博	b uo
博士	b uo sh ii
博士    p ok s u
博物館	b uo u g uan
卜	b u
卜    b ok
卜卦    b ok g ua
占	zh an
卡	k a
卡片	k a p ien
卡車	t o l ak k u
卡通	k a t ong
卦	g ua
卬	ang
卯	m au
印	in
印刷	in sh ua
印度	in d u
印象	in s iang
危	uei
危機	uei z i
危險	uei s ien
危險    gh ui h iam
即	z i
即使	z i sh ii
即可	z i k er
即將	z i z iang
即將    d eh bh eh
即時	z i sh ii
卵	l uan
卷	z yuan
卸	s ie
卻	c yue
卻    k iok
卿	c ing
厄	er
厘	l i
厚	h ou
厚    g au
厝	c uo
原	yuan
原住民	yuan zh u m in
原住民    gh uan z u bh in
原來	yuan l ai
原來    gh uan l ai
原則	yuan z er
原因	yuan in
原因     en g o
原因    gh uan  in
原始	yuan sh ii
原子筆    gh uan z u b it
原料	yuan l iau
原本	yuan b ern
原理	yuan l i
原諒    gh uan l iong
厥	z yue
厭	ien
厲	l i
厲害	l i h ai
厲害    l i h ai
去	c yu
去    k i
去    l ai k i
去年	c yu n ien
參	c an
參    c am
參加	c an z ia
參加    c am g a
參考	c an k au
參與	c an yu
參觀	c an g uan
參觀    c am g uan
參賽	c an s ai
參閱	c an yue
參閱	sh ern yue
又	iou
又     iu
又     iu g orh
又    g orh
叉	ch a
及	z i
及    r u
及時	z i sh ii
友	iou
友人	iou rh ern
友好	iou h au
反	f an
反    b ing
反    d or
反    h uan
反對	f an d uei
反對    h uan d ui
反應	f an ing
反映	f an ing
反正	f an zh ng
