漢字,羅馬字,來源,會用得無
!,!,詞彙分級
!,！,詞彙分級
1942,1942,詞彙分級
1944,1944,詞彙分級
1945,1945,詞彙分級
1947,1947,詞彙分級
1948,1948,詞彙分級
1949,1949,詞彙分級
1950,1950,詞彙分級
1952,1952,詞彙分級
1953,1953,詞彙分級
1956,1956,詞彙分級
1960,1960,詞彙分級
1962,1962,詞彙分級
1963,1963,詞彙分級
1964,1964,詞彙分級
1965,1965,詞彙分級
1966,1966,詞彙分級
1967,1967,詞彙分級
1968,1968,詞彙分級
1973,1973,詞彙分級
1980,1980,詞彙分級
1984,1984,詞彙分級
1985,1985,詞彙分級
1986,1986,詞彙分級
1987,1987,詞彙分級
1989,1989,詞彙分級
1990,1990,詞彙分級
1991,1991,詞彙分級
1992,1992,詞彙分級
1993,1993,詞彙分級
1994,1994,詞彙分級
1996,1996,詞彙分級
1997,1997,詞彙分級
1999,1999,詞彙分級
2,2,詞彙分級
20,20,詞彙分級
200,200,詞彙分級
2000,2000,詞彙分級
2001,2001,詞彙分級
2002,2002,詞彙分級
2003,2003,詞彙分級
2004,2004,詞彙分級
2005,2005,詞彙分級
2006,2006,詞彙分級
2007,2007,詞彙分級
2008,2008,詞彙分級
2009,2009,詞彙分級
2010,2010,詞彙分級
2011,2011,詞彙分級
2012,2012,詞彙分級
2014,2014,詞彙分級
2015,2015,詞彙分級
2016,2016,詞彙分級
21,21,詞彙分級
2222222,222-2222,詞彙分級
2266,2266,詞彙分級
23,23,詞彙分級
24,24,詞彙分級
2434,2434,詞彙分級
25,25,詞彙分級
257,257,詞彙分級
258,258,詞彙分級
26,26,詞彙分級
261,261,詞彙分級
264,264,詞彙分級
269,269,詞彙分級
27,27,詞彙分級
277,277,詞彙分級
28,28,詞彙分級
29,29,詞彙分級
299,299,詞彙分級
3,3,詞彙分級
30,30,詞彙分級
300,300,詞彙分級
31,31,詞彙分級
311,311,詞彙分級
317,317,詞彙分級
32,32,詞彙分級
320,320,詞彙分級
324,324,詞彙分級
33,33,詞彙分級
330,330,詞彙分級
3388,3388,詞彙分級
34,34,詞彙分級
340,340,詞彙分級
36,36,詞彙分級
369,369,詞彙分級
37,37,詞彙分級
38,38,詞彙分級
380,380,詞彙分級
39,39,詞彙分級
3952,3952,詞彙分級
398,398,詞彙分級
3C,3C,詞彙分級
3G,3G,詞彙分級
4,4,詞彙分級
40,40,詞彙分級
400,400,詞彙分級
40126,40126,詞彙分級
4200,4200,詞彙分級
430,430,詞彙分級
44,44,詞彙分級
4400,4400,詞彙分級
45,45,詞彙分級
47,47,詞彙分級
48,48,詞彙分級
491,491,詞彙分級
4G,4G,詞彙分級
5,5,詞彙分級
50,50,詞彙分級
500,500,詞彙分級
52,52,詞彙分級
54,54,詞彙分級
543543,543543,詞彙分級
59,59,詞彙分級
6,6,詞彙分級
60,60,詞彙分級
6000,6000,詞彙分級
63,63,詞彙分級
65,65,詞彙分級
656,656,詞彙分級
6579,6579,詞彙分級
66,66,詞彙分級
69,69,詞彙分級
7,7,詞彙分級
70,70,詞彙分級
7000,7000,詞彙分級
72,72,詞彙分級
726,726,詞彙分級
738,738,詞彙分級
75,75,詞彙分級
78,78,詞彙分級
7873,7873,詞彙分級
79,79,詞彙分級
8,8,詞彙分級
80,80,詞彙分級
8023,8023,詞彙分級
8182,8182,詞彙分級
824,824,詞彙分級
8282882,8282882,詞彙分級
83,83,詞彙分級
834,834,詞彙分級
85,85,詞彙分級
86,86,詞彙分級
87,87,itaigi
8888168,8888168,詞彙分級
9,9,詞彙分級
90,90,詞彙分級
900,900,詞彙分級
91,91,詞彙分級
921,921,詞彙分級
929,929,詞彙分級
93,93,詞彙分級
96,96,詞彙分級
:,:,詞彙分級
;,;,詞彙分級
?,?,詞彙分級
ABC,ABC,詞彙分級
Abbott,Abbott,詞彙分級
Adams,Adams,詞彙分級
Afghanistan,Afghanistan,詞彙分級
America,America,詞彙分級
Amis,Amis,詞彙分級
AngloSaxson,Anglo-Saxson,詞彙分級
Anything,Anything,詞彙分級
Arabia,Arabia,詞彙分級
Atayal,Atayal,詞彙分級
Austronesian,Austronesian,詞彙分級
B,B,詞彙分級
B2,B2,詞彙分級
BBC,BBC,詞彙分級
BCC,BCC,詞彙分級
BENZ,BENZ,詞彙分級
Babuza,Babuza,詞彙分級
Baghdad,Baghdad,詞彙分級
Baltimore,Baltimore,詞彙分級
Barack,Barack,詞彙分級
Barcelona,Barcelona,詞彙分級
Bashar,Bashar,詞彙分級
Bashir,Bashir,詞彙分級
Ben,Ben,詞彙分級
Benihi,Benihi,詞彙分級
Benz,Benz,詞彙分級
Biden,Biden,詞彙分級
Bill,Bill,詞彙分級
Bouie,Bouie,詞彙分級
Bunun,Bunun,詞彙分級
Bush,Bush,詞彙分級
Bye,Bye,詞彙分級
Byebye,Bye-bye,詞彙分級
C,C,詞彙分級
CD,CD,詞彙分級
Call,Call,詞彙分級
Cambodia,Cambodia,詞彙分級
Camp,Camp,詞彙分級
Canada,Canada,詞彙分級
Canberra,Canberra,詞彙分級
Caryl,Caryl,詞彙分級
Castro,Castro,詞彙分級
Christian,Christian,詞彙分級
Chèo,Chèo,詞彙分級
Clinton,Clinton,詞彙分級
Columbia,Columbia,詞彙分級
Come,Come,詞彙分級
Congo,Congo,詞彙分級
Crimea,Crimea,詞彙分級
Crosby,Crosby,詞彙分級
Cuba,Cuba,詞彙分級
D,D,詞彙分級
DIY,DIY,詞彙分級
DNA,DNA,詞彙分級
DVD,DVD,詞彙分級
Darfur,Darfur,詞彙分級
David,David,詞彙分級
Do,Do,詞彙分級
Dole1mi1,Do-le1-mi1,詞彙分級
ETC,ETC,詞彙分級
EU,EU,詞彙分級
Easy,Easy,詞彙分級
Edinburgh,Edinburgh,詞彙分級
Eric,Eric,詞彙分級
Ethan,Ethan,詞彙分級
FM,FM,詞彙分級
FORMOSA,FORMOSA,詞彙分級
Facebook,Facebook,詞彙分級
Fm99,Fm99,詞彙分級
Francis,Francis,詞彙分級
Fraser,Fraser,詞彙分級
G,G,詞彙分級
George,George,詞彙分級
Giles,Giles,詞彙分級
Good,Good,詞彙分級
Google,Google,詞彙分級
Gordon,Gordon,詞彙分級
Great,Great,詞彙分級
Guinness,Guinness,詞彙分級
Haikekaku,Haikekaku,詞彙分級
Hana,Hana,詞彙分級
Happy,Happy,詞彙分級
Hegel,Hegel,詞彙分級
Hillary,Hillary,詞彙分級
Hinoki,Hinoki,詞彙分級
Hugh,Hugh,詞彙分級
I'm,I'm,詞彙分級
ICU,ICU,詞彙分級
IS,IS,詞彙分級
Ieh,Ieh,詞彙分級
Iran,Iran,詞彙分級
Iraq,Iraq,詞彙分級
Ireland,Ireland,詞彙分級
Irving,Irving,詞彙分級
Islam,Islam,詞彙分級
It's,It's,詞彙分級
Jamelle,Jamelle,詞彙分級
Jensen,Jensen,詞彙分級
Joseph,Joseph,詞彙分級
Just,Just,詞彙分級
K,K,詞彙分級
Kitapari,Kitapari,詞彙分級
Krauss,Krauss,詞彙分級
Kuro,Kuro,詞彙分級
LV,LV,詞彙分級
Lady,Lady,詞彙分級
Lalu,Lalu,詞彙分級
Law,Law,詞彙分級
Lay,Lay,詞彙分級
Lebanon,Lebanon,詞彙分級
Leslie,Leslie,詞彙分級
Let,Let,詞彙分級
Lina,Lina,詞彙分級
Line,Line,詞彙分級
MLB,MLB,詞彙分級
MORE,MORE,詞彙分級
MacKay,MacKay,詞彙分級
Makatao,Makatao,詞彙分級
Makau,Makau,詞彙分級
Maryang,Maryang,詞彙分級
Mayasvi,Mayasvi,詞彙分級
McClung,McClung,詞彙分級
Microsoft,Microsoft,詞彙分級
Mihu,Mihu,詞彙分級
Misang,Misang,詞彙分級
Morisakhah,Mori-sakhah,詞彙分級
Murphy's,Murphy's,詞彙分級
Muslim,Muslim,詞彙分級
Myanmar,Myanmar,詞彙分級
NIKE,NIKE,詞彙分級
NO,NO,詞彙分級
NO捽,noo2-sut4,itaigi
NSN,NSN,twisas-語料庫系統
Nana,Nana,詞彙分級
New,New,詞彙分級
News,News,詞彙分級
Nice,Nice,詞彙分級
ONE,ONE,詞彙分級
OPEC,OPEC,詞彙分級
Obama,Obama,詞彙分級
Of,Of,詞彙分級
Omar,Omar,詞彙分級
Ontario,Ontario,詞彙分級
Out,Out,詞彙分級
Oxford,Oxford,詞彙分級
PS認證,PS-認-證,詞彙分級
Pailang,Pailang,詞彙分級
Pangcah,Pangcah,詞彙分級
Pastaai,Pas-taai,詞彙分級
Paul,Paul,詞彙分級
Penicillin,Penicillin,詞彙分級
Pennsylvania,Pennsylvania,詞彙分級
Pew,Pew,詞彙分級
Philip,Philip,詞彙分級
Plibersek,Plibersek,詞彙分級
Putin,Putin,詞彙分級
Puyuma,Puyuma,詞彙分級
Qaeda,Qaeda,詞彙分級
Ramadi,Ramadi,詞彙分級
Rap,Rap,詞彙分級
Raúl,Raúl,詞彙分級
Re,Re,詞彙分級
Rev,Rev,詞彙分級
Richard,Ritsard,詞彙分級
Rip,Rip,詞彙分級
Ritchie,Ritchie,詞彙分級
Rohingya,Rohingya,詞彙分級
Rothkopf,Rothkopf,詞彙分級
Rouble,Rouble,詞彙分級
Rukai,Rukai,詞彙分級
Russia,Russia,詞彙分級
Rwanda,Rwanda,詞彙分級
R級,R-級,詞彙分級
SPA,SPA,詞彙分級
Saisiat,Saisiat,詞彙分級
Salman,Salman,詞彙分級
Saudi,Saudi,詞彙分級
She,She,詞彙分級
Shia,Shia,詞彙分級
Shiite,Shiite,詞彙分級
Shit,Shit,詞彙分級
Skype,Skype,詞彙分級
Slate,Slate,詞彙分級
Sokolsky,Sokolsky,詞彙分級
Spispi,Spispi,詞彙分級
Stares,Stares,詞彙分級
Stephens,Stephens,詞彙分級
Sudan,Sudan,詞彙分級
Sunni,Sunni,詞彙分級
Super,Super,詞彙分級
Syria,Syria,詞彙分級
T,T,詞彙分級
TIME,TIME,詞彙分級
TOMORROW,TOMORROW,詞彙分級
TUBA,TUBA,詞彙分級
TV,TV,詞彙分級
Tanya,Tanya,詞彙分級
Taokas,Taokas,詞彙分級
Tayan,Tayan,詞彙分級
Textor,Textor,詞彙分級
This,This,詞彙分級
Tire,Tire,詞彙分級
Tony,Tony,詞彙分級
Truku,Truku,詞彙分級
Tsia2tsu3,thi1-sia2-tsu3,itaigi
Tufekci,Tufekci,詞彙分級
Turow,Turow,詞彙分級
T衫,T-sann1,itaigi
Ukraine,Ukraine,詞彙分級
V,V,詞彙分級
Van,Van,詞彙分級
Vladimir,Vladimir,詞彙分級
W,W,詞彙分級
WTI,WTI,詞彙分級
WTO,WTO,詞彙分級
Washington,Washington,詞彙分級
Wati,Wati,詞彙分級
What,What,詞彙分級
Winkle,Winkle,詞彙分級
X,X,詞彙分級
Y,Y,詞彙分級
YMCA,YMCA,詞彙分級
Yeah,Yeah,詞彙分級
Year,Year,詞彙分級
Yehudah,Yehudah,詞彙分級
Yemen,Yemen,詞彙分級
You,You,詞彙分級
Yuki,Yuki,詞彙分級
Y等於a1括弧x減p括弧平方,Y-等-於-a1-括-弧-x-減-p-括-弧-平-方,詞彙分級
Zeynep,Zeynep,詞彙分級
Zuckerman,Zuckerman,詞彙分級
a1,a1,詞彙分級
a1bi1khoh4,a1-bi1-khoh4,詞彙分級
a1bu1kha1lo1,a1-bu1-kha1-lo1,itaigi
a1khoh4,a1-khoh4,詞彙分級
a1lu2mih4,a1-lu2-mih4,itaigi
a1lu2mih4啊,a1-lu2-mih4-ah4,twisas-語料庫系統
a1moo2ni2a2,a1-moo2-ni2-a2,itaigi
a1na2tah4,a1-na2-tah4,詞彙分級
a1ni2khih4,a1-ni2-khih4,itaigi
a1sa2lih4,a1-sa2-lih4,詞彙分級
a1sir2phi2lin2,a1-sir2-phi2-lin2,itaigi
a1tah4puh4tah4,a1-tah4-puh4-tah4,itaigi
a1too3sang3,a1-too3-sang3,twisas-語料庫系統
a1too3sang3乎,a1-too3-sang3-honnh4,twisas-語料庫系統
a2,a2,itaigi
a2geh4,a2-geh4,itaigi
a2ni7me3,a2-ni7-me3,itaigi
a2tah4,a2-tah4,itaigi
ah4,ah4,詞彙分級
ai2sirh8khu1lin2mu3,ai2-sirh8-khu1-lin2-mu3,itaigi
ai9sat4tsuh4,ai9-sat4-tsuh4,itaigi
al,al,詞彙分級
alAssad,al-Assad,詞彙分級
alBashir,al-Bashir,詞彙分級
all,all,詞彙分級
always,always,詞彙分級
am1,am1,詞彙分級
am3,am3,twisas-語料庫系統
an3nai7,an3-nai7,itaigi
an3nai7,an3-nai7,twisas-語料庫系統
an3nai7,an3-nai7,詞彙分級
an3nai7一下乎,an3-nai7-tsit8-e7-honnh4,twisas-語料庫系統
and,and,詞彙分級
ang2lai2,ang2-lai2,itaigi
ann5,ann5,twisas-語料庫系統
ap4loo2,ap4-loo2,itaigi
apple,apple,詞彙分級
are,are,詞彙分級
asking,asking,詞彙分級
at4,at4,詞彙分級
at8sa2lih4,at8-sa2-lih4,itaigi
au1lo5pa1話,au1-lo5-pa1-ue7,詞彙分級
au3tsuh4,au3-tsuh4,itaigi
b,b,詞彙分級
ba1,ba1,詞彙分級
ba1lu2buh4,ba1-lu2-buh4,itaigi
ba2luh4,ba2-luh4,itaigi
ba2suh4,ba2-suh4,itaigi
ba2suh4,ba2-suh4,詞彙分級
ba2tah4,ba2-tah4,itaigi
ba2仔,ba2-a2,itaigi
ba9緊啦,ba9-kin2-lah4,twisas-語料庫系統
baby,baby,詞彙分級
bai1oo2lin2,bai1-oo2-lin2,itaigi
bai1oo2lin2,bai1-oo2-lin2,詞彙分級
bai9khin2,bai9-khin2,itaigi
bak4kuh4,bak4-kuh4,itaigi
ban2bah4,ban2-bah4,itaigi
ban3ba3,ban3-ba3,itaigi
ban3bah4,ban3-bah4,詞彙分級
ban3po1,ban3-po1,詞彙分級
banana,banana,詞彙分級
bang2,bang2,itaigi
bang2ga3,bang2-ga3,itaigi
bang3ga3,bang3-ga3,itaigi
bang3kah4,bang3-kah4,itaigi
bang9soo2khoo2,bang9-soo2-khoo2,itaigi
bat4tah4,bat4-tah4,itaigi
bat8te2lih4,bat8-te2-lih4,itaigi
bau9緊啦,bau9-kin2-lah4,twisas-語料庫系統
be1,be1,詞彙分級
between,between,詞彙分級
bi1ta2bin2,bi1-ta2-bin2,itaigi
bi2,bi2,詞彙分級
bi2sooh4,bi2-sooh4,itaigi
bi3lu3,bi3-lu3,itaigi
bian2juh4,bian2-juh4,詞彙分級
bian3luh4,bian3-luh4,twisas-語料庫系統
biat4tooh4,biat4-tooh4,itaigi
bih4luh4,bih4-luh4,itaigi
bih4luh4,bih4-luh4,詞彙分級
bok4sin3kuh4拳,bok4-sin3-kuh4-kun5,itaigi
bok8sin3gu3,bok8-sin3-gu3,itaigi
boo3lu3,boo3-lu3,itaigi
boo3too3,boo3-too3,itaigi
breakfast,breakfast,詞彙分級
bu1la2tsia3,bu1-la2-tsia3,itaigi
bu1la3jia3,bu1-la3-jia3,itaigi
bu2,bu2,itaigi
bua5緊啦,bua5-kin2-lah4,twisas-語料庫系統
bua9,bua9,twisas-語料庫系統
bua9緊,bua9-kin2,twisas-語料庫系統
bua9緊啊,bua9-kin2-ah4,twisas-語料庫系統
bua9緊啦,bua9-kin2-lah4,twisas-語料庫系統
bua9緊啦唅,bua9-kin2-lah4-hannh4,twisas-語料庫系統
buai3啦,buai3-lah4,twisas-語料庫系統
buai9,buai9,twisas-語料庫系統
buai9緊,buai9-kin2,twisas-語料庫系統
buai9轉來,buai9-tng2-lai5,twisas-語料庫系統
buaih4,buaih4,twisas-語料庫系統
buaih4咧,buaih4-leh4,twisas-語料庫系統
buaih4啦,buaih4-lah4,twisas-語料庫系統
bue9,bue9,twisas-語料庫系統
buffet,buffet,詞彙分級
bun2bun2仔,bun2-bun2-a2,詞彙分級
bun7,bun7,itaigi
but4,but4,詞彙分級
bye,bye,詞彙分級
byebye喔,bye-bye-喔,詞彙分級
caliphate,caliphate,詞彙分級
callout,call-out,詞彙分級
can,can,詞彙分級
cc,cc,詞彙分級
choose,choose,詞彙分級
coffee,coffee,詞彙分級
coi,coi,詞彙分級
come,come,詞彙分級
cool,cool,詞彙分級
county,county,詞彙分級
course,course,詞彙分級
cream,cream,詞彙分級
didn,didn,詞彙分級
do,do,詞彙分級
doesn,doesn,詞彙分級
e1,e1,twisas-語料庫系統
e1,e1,詞彙分級
e1khooh4,e1-khooh4,詞彙分級
e1mail,e1-mail,詞彙分級
e1moo2jih4,e1-moo2-jih4,itaigi
e1oh4,e1-oh4,詞彙分級
e1pu2long2,e1-pu2-long2,itaigi
e1乎,e1-honnh4,twisas-語料庫系統
e2,e2,twisas-語料庫系統
e2khoo3,e2-khoo3,twisas-語料庫系統
e2khoo3啊,e2-khoo3-ah4,twisas-語料庫系統
e5,e5,詞彙分級
e7,e7,twisas-語料庫系統
e7sirh8pu7le2sooh4,e7-sirh8-pu7-le2-sooh4,itaigi
e7su7phu1le2sooh4,e7-su7-phu1-le2-sooh4,itaigi
eat,eat,詞彙分級
eh4,eh4,twisas-語料庫系統
eh4,eh4,詞彙分級
email,email,詞彙分級
enn9,enn9,詞彙分級
fault,fault,詞彙分級
finish,finish,詞彙分級
ga1soo2lin2,ga1-soo2-lin2,itaigi
ga1suh4,ga1-suh4,詞彙分級
ga2lah4,ga2-lah4,itaigi
ga2suh4,ga2-suh4,itaigi
ga2suh4,ga2-suh4,詞彙分級
ga2suh4鍋,ga2-suh4-ue1,詞彙分級
ga5,ga5,itaigi
gan3,gan3,詞彙分級
gan3出,gan3-tshut4,itaigi
gan9tai2,gan9-tai2,twisas-語料庫系統
gat4la2油,gat4-la2-iu5,itaigi
ge7ge7顫,ge7-ge7-tsun3,詞彙分級
gi3ta3,gi3-ta3,itaigi
gi3ta3,gi3-ta3,詞彙分級
gian7gian7,gian7-gian7,詞彙分級
giang7,giang7,itaigi
ging5,ging5,詞彙分級
gio2toh4,gio2-toh4,詞彙分級
gioh4toh4,gioh4-toh4,itaigi
give,give,詞彙分級
go1,go1,詞彙分級
go1lu2huh4,go1-lu2-huh4,詞彙分級
going,going,詞彙分級
goo1lu2huh4,goo1-lu2-huh4,itaigi
goo2lu2huh4,goo2-lu2-huh4,詞彙分級
goo7boo7,goo7-boo7,itaigi
goo7boo7,goo7-boo7,詞彙分級
goo7boo7蛇,goo7-boo7-tsua5,詞彙分級
goo7boo7蛇的,goo7-boo7-tsua5-e5,詞彙分級
good,good,詞彙分級
gould,gould,詞彙分級
great,great,詞彙分級
gua9,gua9,twisas-語料庫系統
gua9爾,gua9-ni7,twisas-語料庫系統
guh4一下,guh4-tsit8-e7,twisas-語料庫系統
guild,guild,詞彙分級
ha1moo2ni2khah4,ha1-moo2-ni2-khah4,itaigi
ha1muh4,ha1-muh4,詞彙分級
ha1si2khah4,ha1-si2-khah4,itaigi
ha2muh4,ha2-muh4,itaigi
ha2ti1,ha2-ti1,itaigi
hah4,hah4,twisas-語料庫系統
hah4,hah4,詞彙分級
hah4tshiuh4,hah4-tshiuh4,詞彙分級
hai2,hai2,詞彙分級
hai2kat4la2,hai2-kat4-la2,itaigi
hai3ia3,hai3-ia3,itaigi
hai9khe2kha2kuh4,hai9-khe2-kha2-kuh4,itaigi
haih4,haih4,詞彙分級
hair,hair,詞彙分級
hak4,hak4,twisas-語料庫系統
ham7,ham7,itaigi
ham7,ham7,twisas-語料庫系統
han5,han5,詞彙分級
han9too2lu3,han9-too2-lu3,詞彙分級
han9too2luh4,han9-too2-luh4,itaigi
han9too2luh4,han9-too2-luh4,詞彙分級
hang9goo2,hang9-goo2,itaigi
hann5,hann5,詞彙分級
hann9,hann9,twisas-語料庫系統
hann9,hann9,詞彙分級
hannh4,ha1,詞彙分級
hannh4,hannh4,詞彙分級
hap8pak8khi3,hap8-pak8-khi3,itaigi
happy,happy,詞彙分級
has,has,詞彙分級
haunn2,haunn2,詞彙分級
he1he1,he1-he1,詞彙分級
he1nu2miat4tooh4,he1-nu2-miat4-tooh4,itaigi
he5boo5,he5-boo5,詞彙分級
heh4heh4叫,heh4-heh4-kio3,詞彙分級
heh4siooh4,heh4-siooh4,詞彙分級
hennh4,hennh4,twisas-語料庫系統
hennh4hennh4叫,hennh4-hennh4-kio3,詞彙分級
here1,here1,詞彙分級
hi1,hi1,詞彙分級
hi1noo2khih4,hi1-noo2-khih4,itaigi
hi1noo2khih4,hi1-noo2-khih4,詞彙分級
hi3tah4,hi3-tah4,itaigi
hian9too2sian2,hian9-too2-sian2,itaigi
hin1,hin1,詞彙分級
hinn1,hinn1,itaigi
hinn3哼,hinn3-hainn1,itaigi
hiu2hiu2,hiu2-hiu2,詞彙分級
hiuh4,hiuh4,詞彙分級
hm1,hm1,詞彙分級
hm5,hm5,twisas-語料庫系統
hm7,hm7,twisas-語料庫系統
hmh4,hmh4,twisas-語料庫系統
ho1,ho1,詞彙分級
ho7luh4bong2,ho7-luh4-bong2,itaigi
hoh4,hoh4,詞彙分級
home,home,詞彙分級
hong1ham3,hong1-ham3,詞彙分級
hong1si5,hong1-si5,詞彙分級
hong9,hong9,twisas-語料庫系統
honn1honn1叫,honn1-honn1-kio3,詞彙分級
hoo1hoo1叫,hoo1-hoo1-kio3,詞彙分級
hoo1lu2bong2,hoo1-lu2-bong2,itaigi
hoo1te2luh4,hoo1-te2-luh4,itaigi
hoo3suh4管,hoo3-suh4-kong2,詞彙分級
hoo5tai2,hoo5-tai2,詞彙分級
hooh4,hooh4,詞彙分級
hoonh,hoonh,詞彙分級
hu1loo2間,hu1-loo2-king1,itaigi
hu1mih4,hu1-mih4,詞彙分級
hu2looh4,hu2-looh4,itaigi
hu7hu7叫,hu7-hu7-kio3,詞彙分級
hua1,hua1,詞彙分級
huang5huang5,huang5-huang5,itaigi
hue1tsiau2suann1,hue1-tsiau2-suann1,詞彙分級
hue5,hue5,詞彙分級
hue5咧,hue5-leh4,詞彙分級
hue5過,hue5-kue3,詞彙分級
huh4,huh4,詞彙分級
huih4,huih4,詞彙分級
hun3lian7,hun3-lian7,itaigi
i1,i1,詞彙分級
i1a1i1a1io1,i1-a1-i1-a1-io1,詞彙分級
i1a2,i1-a2,itaigi
i1lan1,i1-lan1,詞彙分級
i1tsa2kha2iah4,i1-tsa2-kha2-iah4,itaigi
i1tshi2gooh4,i1-tshi2-gooh4,itaigi
i1仔,i1-a2,twisas-語料庫系統
i1仔乎,i1-a2-honnh4,twisas-語料庫系統
i1仔啊,i1-a2-ah4,twisas-語料庫系統
i1仔喔,i1-a2-ooh4,twisas-語料庫系統
i5,i5,詞彙分級
i9,i9,詞彙分級
ia1,ia1,詞彙分級
ia1si2khoo3,ia1-si2-khoo3,twisas-語料庫系統
ia1su2khoo3,ia1-su2-khoo3,twisas-語料庫系統
ia1su2khoo3乎,ia1-su2-khoo3-honnh4,twisas-語料庫系統
ia1su2khoo3仔,ia1-su2-khoo3-a2,twisas-語料庫系統
ia1su2khoo3咧,ia1-su2-khoo3-leh4,twisas-語料庫系統
ia1su2khoo3啊,ia1-su2-khoo3-ah4,twisas-語料庫系統
ia2mih4,ia2-mih4,itaigi
iah4,iah4,twisas-語料庫系統
ian9jin2,ian9-jin2,itaigi
ian9jin2,ian9-jin2,詞彙分級
iang1的,iang1-e5,twisas-語料庫系統
idea,idea,詞彙分級
if,if,詞彙分級
ih4,ih4,詞彙分級
ih8ih8,ih8-ih8,詞彙分級
in1,in1,詞彙分級
ing1暗,ing1-am3,twisas-語料庫系統
ing1暗乎,ing1-am3-honnh4,twisas-語料庫系統
ing1暗喔,ing1-am3-ooh4,twisas-語料庫系統
ing9,ing9,twisas-語料庫系統
inn1inn1uainnh4uainnh4,inn1-inn1-uainnh4-uainnh4,詞彙分級
inn1onn1inn1onn1,inn1-onn1-inn1-onn1,詞彙分級
internet,internet,詞彙分級
io1si2khoo3,io1-si2-khoo3,twisas-語料庫系統
io2bih4,io2-bih4,itaigi
io3斷,io3-tng7,詞彙分級
io9kang2,io9-kang2,itaigi
ioh4,ioh4,twisas-語料庫系統
iok4,iok4,twisas-語料庫系統
iok4khoo3,iok4-khoo3,twisas-語料庫系統
iok4khoo3乎,iok4-khoo3-honnh4,twisas-語料庫系統
iok4khoo3啊,iok4-khoo3-ah4,twisas-語料庫系統
iok4khoo3啊啊,iok4-khoo3-ah4-ah4,twisas-語料庫系統
iok4khoo3喔,iok4-khoo3-ooh4,twisas-語料庫系統
iok4khoo3矣,iok4-khoo3-ah4,twisas-語料庫系統
ioo2kah4,ioo2-kah4,itaigi
is,is,詞彙分級
it4,it4,詞彙分級
it4tah4tsik8pu1lu2khok4,it4-tah4-tsik8-pu1-lu2-khok4,詞彙分級
iu1,iu1,詞彙分級
iu1tsi2ian2,iu1-tsi2-ian2,itaigi
iu1tsi2én,iu1-tsi2-én,詞彙分級
iu2bih4,iu2-bih4,詞彙分級
iu2khoo3,iu2-khoo3,twisas-語料庫系統
iu2lih4,iu2-lih4,itaigi
ji1lo3sia3,ji1-lo3-sia3,itaigi
ji1long2,ji1-long2,twisas-語料庫系統
ji1loo3sia3,ji1-loo3-sia3,itaigi
ji1lu2bah4,ji1-lu2-bah4,itaigi
ji1sia2kuh4,ji1-sia2-kuh4,itaigi
jia2kuh4,jia2-kuh4,itaigi
